rfc_number,rfc_title,publication_year,source_uri,target_uri,source_name,target_name,title_similarity,name_similarity,token_similarity,date_score,total_score,selected
6828,Content Splicing for RTP Sessions,2013,/api/v1/doc/document/draft-ietf-avtext-splicing-for-rtp/,/api/v1/doc/document/draft-xia-avtext-splicing-for-rtp/,draft-ietf-avtext-splicing-for-rtp,draft-xia-avtext-splicing-for-rtp,1.0,0.8205128205128205,1.0,1.0,0.9551282051282052,True
6828,Content Splicing for RTP Sessions,2013,/api/v1/doc/document/draft-xia-avtext-splicing-for-rtp/,/api/v1/doc/document/draft-xia-avt-splicing-for-rtp/,draft-xia-avtext-splicing-for-rtp,draft-xia-avt-splicing-for-rtp,1.0,0.9302325581395349,1.0,1.0,0.9825581395348838,True
6829,Label Switched Path (LSP) Ping for Pseudowire Forwarding Equivalence Classes (FECs) Advertised over IPv6,2013,/api/v1/doc/document/draft-ietf-mpls-ipv6-pw-lsp-ping/,/api/v1/doc/document/draft-chen-mpls-ipv6-pw-lsp-ping/,draft-ietf-mpls-ipv6-pw-lsp-ping,draft-chen-mpls-ipv6-pw-lsp-ping,0.6274509803921569,0.8648648648648649,0.75,1.0,0.7485691573926868,True
6827,Automatically Switched Optical Network (ASON) Routing for OSPFv2 Protocols,2013,/api/v1/doc/document/draft-ietf-ccamp-rfc5787bis/,/api/v1/doc/document/draft-malis-ccamp-rfc5787bis/,draft-ietf-ccamp-rfc5787bis,draft-malis-ccamp-rfc5787bis,0.578125,0.7692307692307693,0.5,1.0,0.6524639423076923,True
6841,A Framework for DNSSEC Policies and DNSSEC Practice Statements,2013,/api/v1/doc/document/draft-ietf-dnsop-dnssec-dps-framework/,/api/v1/doc/document/draft-ljunggren-dps-framework/,draft-ietf-dnsop-dnssec-dps-framework,draft-ljunggren-dps-framework,0.5535714285714286,0.7878787878787878,0.6666666666666666,1.0,0.6794101731601732,True
6825,Traffic Engineering Database Management Information Base in Support of MPLS-TE/GMPLS,2013,/api/v1/doc/document/draft-ietf-ccamp-gmpls-ted-mib/,/api/v1/doc/document/draft-ietf-ccamp-gmpls-ospf-mib/,draft-ietf-ccamp-gmpls-ted-mib,draft-ietf-ccamp-gmpls-ospf-mib,0.95,0.7407407407407407,0.8888888888888888,1.0,0.8904629629629629,True
6825,Traffic Engineering Database Management Information Base in Support of MPLS-TE/GMPLS,2013,/api/v1/doc/document/draft-ietf-ccamp-gmpls-ospf-mib/,/api/v1/doc/document/draft-otani-ccamp-gmpls-ospf-mib/,draft-ietf-ccamp-gmpls-ospf-mib,draft-otani-ccamp-gmpls-ospf-mib,0.7671232876712328,0.8235294117647058,0.75,1.0,0.8010878323932312,True
6826,Multipoint LDP In-Band Signaling for Point-to-Multipoint and Multipoint-to-Multipoint Label Switched Paths,2013,/api/v1/doc/document/draft-ietf-mpls-mldp-in-band-signaling/,/api/v1/doc/document/draft-wijnands-mpls-mldp-in-band-signaling/,draft-ietf-mpls-mldp-in-band-signaling,draft-wijnands-mpls-mldp-in-band-signaling,0.9230769230769231,0.8979591836734694,0.75,1.0,0.8898744113029827,True
6845,OSPF Hybrid Broadcast and Point-to-Multipoint Interface Type,2013,/api/v1/doc/document/draft-ietf-ospf-hybrid-bcast-and-p2mp/,/api/v1/doc/document/draft-nsheth-ospf-hybrid-bcast-and-p2mp/,draft-ietf-ospf-hybrid-bcast-and-p2mp,draft-nsheth-ospf-hybrid-bcast-and-p2mp,0.8380952380952381,0.8936170212765957,0.75,1.0,0.8505471124620061,True
6848,Specifying Civic Address Extensions in the Presence Information Data Format Location Object (PIDF-LO),2013,/api/v1/doc/document/draft-ietf-geopriv-local-civic/,/api/v1/doc/document/draft-ietf-geopriv-prefix/,draft-ietf-geopriv-local-civic,draft-ietf-geopriv-prefix,0.25,0.11764705882352941,0.0625,1.0,0.25441176470588234,False
